news_id	key_word	start_date	end_date	news_author
340685	TIFFANY & CO	2013/3/22 0:00	2013/3/25 0:00	"Karen Talley, Melodie Warner"
392043	AT&T	2014/1/28 0:00	2014/1/31 0:00	David George-Cosh
263856	MATTEL	2018/2/1 0:00	2018/2/4 0:00	Paul Ziobro
351719	TIME WARNER	2013/5/1 0:00	2013/5/4 0:00	Paul Ziobro
371693	AMERICAN CAPITAL	2013/7/30 0:00	2013/8/2 0:00	"Justin Scheck, Selina Williams, Tom Fowler"
263419	LEGG MASON	2015/5/1 0:00	2015/5/4 0:00	Lisa Beilfuss
263935	BIG 5	2015/7/28 0:00	2015/7/31 0:00	"Chelsey Dulaney, Lindsay Ellis"
371797	AUTOZONE	2015/3/3 0:00	2015/3/6 0:00	Angela Chen
263958	DOMINION ENERGY	2014/7/30 0:00	2014/8/2 0:00	Erin McCarthy
186114	G&K SERVICES  -CL A	2016/8/16 0:00	2016/8/19 0:00	"Lisa Beilfuss, Sharon Terlep"
293849	NIKE	2018/3/22 0:00	2018/3/25 0:00	Sara Germano
318196	MONSANTO CO	2016/4/6 0:00	2016/4/9 0:00	Jacob Bunge
263986	S & T	2013/4/23 0:00	2013/4/26 0:00	Tess Stynes
415504	OCCIDENTAL PETROLEUM	2016/8/3 0:00	2016/8/6 0:00	Austen Hufford
87291	OMNICOM GROUP	2015/4/21 0:00	2015/4/24 0:00	Nathalie Tadena
219304	CAPITAL ONE FINANCIAL	2015/7/23 0:00	2015/7/26 0:00	Chelsey Dulaney
249052	S&P GLOBAL	2017/4/25 0:00	2017/4/28 0:00	Doug Cameron
106659	INTERPUBLIC GROUP OF COS	2015/10/21 0:00	2015/10/24 0:00	Nick Kostov
158829	SERVICE	2017/7/26 0:00	2017/7/29 0:00	Jennifer Maloney
364780	GREENBRIER	2015/10/30 0:00	2015/11/2 0:00	Anne Steele
285155	UNIT	2015/8/4 0:00	2015/8/7 0:00	Neetha Mahadevan
160525	STATE STREET	2013/4/19 0:00	2013/4/22 0:00	"Alison Sider, Melodie Warner"
283257	S & T IN	2014/7/29 0:00	2014/8/1 0:00	Erin McCarthy
249976	S & T	2013/10/29 0:00	2013/11/1 0:00	Tess Stynes
353362	EMPLOYERS	2013/11/6 0:00	2013/11/9 0:00	Nathalie Tadena
258760	S&P GLOBAL	2016/7/28 0:00	2016/7/31 0:00	Selina Williams
264197	SCRIPPS NETWORKS	2015/5/7 0:00	2015/5/10 0:00	Lisa Beilfuss
264198	SCRIPPS NETWORKS	2015/5/7 0:00	2015/5/10 0:00	Lisa Beilfuss
290407	SHAKE SHACK	2016/3/7 0:00	2016/3/10 0:00	Ezequiel Minaya
238485	ACTIVISION BLIZZARD	2013/11/6 0:00	2013/11/9 0:00	Ian Sherr
225832	SIGNET JEWELERS	2015/3/26 0:00	2015/3/29 0:00	Chelsey Dulaney
189634	EAGLE IN	2016/7/20 0:00	2016/7/23 0:00	Judy McKinnon
148877	URBAN OUTFITTERS	2014/8/18 0:00	2014/8/21 0:00	Maria Armental
214697	NVIDIA	2013/5/9 0:00	2013/5/12 0:00	Tess Stynes
159145	US	2013/7/17 0:00	2013/7/20 0:00	Don Clark
289382	SOTHEBY'S	2016/2/26 0:00	2016/2/29 0:00	Anne Steele
264326	MACY'S	2013/5/15 0:00	2013/5/18 0:00	Suzanne Kapner
146137	AT&T	2016/7/21 0:00	2016/7/24 0:00	William Boston
340084	WALGREENS BOOTS	2015/10/28 0:00	2015/10/31 0:00	"Chelsey Dulaney, Paul Ziobro"
319799	ADVANCE AUTO PARTS	2016/5/19 0:00	2016/5/22 0:00	Anne Steele
73927	TJX	2017/11/14 0:00	2017/11/17 0:00	Sarah Nassauer
85850	PROCTER & GAMBLE CO	2015/1/27 0:00	2015/1/30 0:00	"Chelsey Dulaney, Paul Ziobro"
267183	EQUITY ONE.	2013/10/30 0:00	2013/11/2 0:00	Gilles Castonguay
171293	S&P GLOBAL	2017/2/7 0:00	2017/2/10 0:00	Alexander Martin
264563	KELLOGG CO	2014/7/31 0:00	2014/8/3 0:00	"Anna Prior, Annie Gasparro"
289516	ABERCROMBIE & FITCH  -CL A	2013/2/22 0:00	2013/2/25 0:00	"Anna Prior, Ben Fox Rubin"
264571	BE AEROSPACE	2016/4/26 0:00	2016/4/29 0:00	Lisa Beilfuss
405715	ENDO INTERNATIONAL	2014/7/31 0:00	2014/8/3 0:00	Anna Prior
211332	T-MOBILE US	2016/4/26 0:00	2016/4/29 0:00	Thomas Gryta
273690	BIG 5	2014/7/29 0:00	2014/8/1 0:00	"Jonathan D. Rockoff, Michael Calia"
322768	LYONDELLBASELL INDUSTRIES NV	2014/7/25 0:00	2014/7/28 0:00	Michael Calia
264623	BEAZER HOMES	2013/11/7 0:00	2013/11/10 0:00	Nathalie Tadena
93921	POST	2015/11/23 0:00	2015/11/26 0:00	"Anne Steele, Annie Gasparro"
321396	M & T BANK	2015/4/20 0:00	2015/4/23 0:00	Lisa Beilfuss
285701	AT&T	2016/10/22 0:00	2016/10/25 0:00	Joshua Jamerson
289144	JOHNSON & JOHNSO	2016/10/18 0:00	2016/10/21 0:00	"Anne Steele, Jonathan D. Rockoff"
332032	MARATHON OIL	2014/8/4 0:00	2014/8/7 0:00	Tess Stynes
314401	COLGATE-PALMOLIVE CO	2017/1/27 0:00	2017/1/30 0:00	"Anne Steele, Sharon Terlep"
264739	CONOCOPHILLIPS	2013/4/25 0:00	2013/4/28 0:00	"Alison Sider, Tess Stynes"
346743	EMERSON ELECTRIC	2016/11/1 0:00	2016/11/4 0:00	Anne Steele
264757	KELLOGG	2016/2/11 0:00	2016/2/14 0:00	"Annie Gasparro, Chelsey Dulaney"
379425	WYNN RESORTS	2015/2/3 0:00	2015/2/6 0:00	Maria Armental
324921	HEALTH NET	2015/8/4 0:00	2015/8/7 0:00	Chelsey Dulaney
89079	UNITED PARCEL SERVICE	2015/4/28 0:00	2015/5/1 0:00	Laura Stevens
107896	S & T IN	2016/1/26 0:00	2016/1/29 0:00	"Bradley Olson, Erin Ailworth"
88327	BIG 5	2016/3/1 0:00	2016/3/4 0:00	Austen Hufford
289461	HERMAN MILLER	2015/6/24 0:00	2015/6/27 0:00	"Cassandra Jaramillo, Tess Stynes"
204922	HIGHER ONE	2013/2/12 0:00	2013/2/15 0:00	G¨¦raldine Amiel
203332	URBAN OUTFITTERS	2014/11/17 0:00	2014/11/20 0:00	Tess Stynes
111400	BOEING CO	2014/4/23 0:00	2014/4/26 0:00	Doug Cameron
139015	US	2017/10/18 0:00	2017/10/21 0:00	Thomas Gryta
310832	AT&T	2015/1/27 0:00	2015/1/30 0:00	Angela Chen
131683	AVON PRODUCTS	2015/7/30 0:00	2015/8/2 0:00	"Angela Chen, Serena Ng"
246005	JOS A BANK CLOTHIERS	2013/12/5 0:00	2013/12/8 0:00	Ben Fox Rubin
